β,U,ndens,λsp_old,λsp,λch,λsp_sc,λch_sc,χAF,χAF_m,χAF_dm,χAF_dm_sc,χd0,χd0_m,χd0_dm,χd0_dm_sc,χdπ,χdπ_m,χdπ_dm,χdπ_dm_sc
20.0,2.0,0.92731523199092,0.05057215119405524,0.04481833478567713,6.9418081482843315,0.05000991870902775,0.4710612377161587,-48.17215142710771,33.54211134996555,41.563704824420974,34.18682232924152,0.13403728810529106,0.13403728810529106,0.06943278236232775,0.12607682619192906,0.12199691244201656,0.12199691244201656,0.06605570901861524,0.11536699978637514
20.0,2.0,0.931114193141751,0.04573168243856714,0.040215147745760925,7.369487257181017,0.04502119286196589,0.648736555386905,-57.14662468252476,35.41975003590558,44.02125059561021,36.33411113951062,0.13070693973017547,0.13070693973017547,0.0665770519953084,0.12049006094008852,0.1181935158800168,0.11819351588001681,0.06317044261790203,0.10977626138407215
20.0,2.0,0.932844105891893,0.05528616833723968,0.04925828877788856,8.836463683746455,0.054368167835352144,0.8472142699979379,-35.740581856712176,36.62095604875179,46.994933010828106,37.89490923060738,0.13009940485433533,0.13009940485433533,0.06052208556596681,0.11718322676070074,0.11949009312080243,0.11949009312080242,0.0581214282847994,0.10850566216514396
20.0,2.0,0.957529371311204,0.06796528971487191,0.06333965764247436,17.56011696381218,0.06656224526318036,2.575047741584412,-19.00782334031964,65.12378371943979,93.19889386879805,71.67262337134396,0.10890670210371323,0.10890670210371323,0.03739395777294803,0.08505412650018819,0.10473310982919322,0.10473310982919322,0.03688921253362658,0.08248697109964404
20.0,2.0,0.978032916283219,0.0882828143494228,0.08437341794882534,26.838412117967078,0.0868229081602746,4.245396370725524,-12.863727795556615,94.83301382624954,150.70557504359584,110.07221525367213,0.0971609212452188,0.0971609212452188,0.02693195294685451,0.0687871443893826,0.10060219242138788,0.10060219242138788,0.02718975895360633,0.07049433223106996
20.0,2.0,0.997669733853423,0.09187870528327081,0.08824457199032479,33.29784703264764,0.09041246973762243,5.1425255236023695,-12.043783713781949,113.01580198389506,191.78445728111856,135.46309086844346,0.097232618279867,0.097232618279867,0.022945009617408245,0.06482082846806586,0.09987588045444115,0.09987588045444115,0.023089209513821304,0.06598502855158009
50.0,2.0,0.839611716592616,0.01925188761472015,0.09697342012442287,-3.577064502711517,0.035434391167752294,-1.8376804918187952,33.69018499828653,20.43563753628852,7.895423195108388,15.357060915538455,0.19830638635100628,0.19830638635100628,0.682296979928868,0.31201039208528414,0.19842026453215647,0.19842026453215647,0.6836469468428977,0.312292391534346
50.0,2.0,0.857231281333421,0.02214792971134227,0.08079977794062199,-3.8125088660998276,0.02931404617088455,-1.459704562959931,116.2400192700405,32.51945922707501,11.185348632178922,26.37343951106305,0.18872081956710335,0.18872081956710335,0.6728010108317865,0.26047582502264416,0.1823110069116368,0.1823110069116368,0.597863186447411,0.2484208027862795
50.0,2.0,0.865147446781398,0.02042769536742911,0.03309517267131701,-2.2652620830874404,0.025615296778087826,-1.2561342807350946,122.96934763781488,35.014246827946835,24.25578371431781,29.631908300924184,0.18283475124318718,0.18283475124318718,0.3120945043882751,0.23734446824513286,0.1749074096001323,0.1749074096001323,0.2896830602022028,0.22415612199087664
50.0,2.0,0.872878556505096,0.03863557753831976,0.0397710752962131,-0.3601843716142319,0.041285693459376396,-0.8007555790631327,-60.88385992414132,45.02301354830122,42.833227706487186,40.22367705072676,0.17545778967914513,0.17545778967914513,0.18729425340236275,0.2041390872877583,0.16902304982889432,0.16902304982889432,0.1799801439836936,0.19548059591292957
50.0,2.0,0.889086504888601,0.03196855769653807,0.030768434295007592,0.9750693266911168,0.032833332836269276,-0.38719130924605927,-63.13860415184605,61.994793412119186,66.97805460089516,58.840274720887805,0.16477627424874286,0.16477627424874286,0.14196672344438852,0.17600540902330697,0.155118179935354,0.155118179935354,0.1347388039001728,0.1650299463709153
50.0,2.0,0.89734244234402,0.045429427969615445,0.0428722136868179,3.224469484946423,0.04528792697304289,0.15114370774258123,-29.60305829184146,85.84328814981224,109.98776808244408,86.89884061734928,0.15832457795396385,0.15832457795396385,0.10481512044378091,0.154624451364577,0.14963267703403402,0.14963267703403402,0.10093361888634889,0.146323421041076
50.0,2.0,0.901306057774399,0.041760548674919434,0.03931988044350933,3.5299471758387595,0.04151953336144618,0.28845693526446115,-31.865371647696946,96.35284987492433,125.97866555442292,98.64360214059258,0.1555441470222483,0.1555441470222483,0.10041178759531082,0.14886490790156823,0.14627124828567017,0.14627124828567017,0.09646400818276812,0.1403494884933574
50.0,2.0,0.897197494462169,0.0926892741022713,0.08813225924127872,8.607648205646134,0.09156533834993351,1.1501829729750583,-12.38017077985762,83.9282157954601,135.90780325477812,92.66974571400964,0.1577102298563794,0.1577102298563794,0.0668968320074784,0.13349484884403523,0.15337304452603231,0.15337304452603231,0.06610390764533534,0.1303741274401048
50.0,2.0,0.901546391712414,0.08908681222089418,0.08484660635193596,8.768506963539538,0.0881162833388629,1.077745126980423,-12.751840150854559,93.74919999757098,155.60444043022142,103.13287978354487,0.1555767882738802,0.1555767882738802,0.06580592067363307,0.13323670650794217,0.15075153607751096,0.15075153607751096,0.06492689197776934,0.12968189397395882
50.0,2.0,0.906927433626232,0.09757346285122305,0.09342081424734165,11.434924846727515,0.09638898955653558,1.4739007654584275,-11.344526277925892,106.09826225519978,189.66059738232468,121.34815229752508,0.1519512719130509,0.1519512719130509,0.05550627225406352,0.12414714194062074,0.14856838905607933,0.14856838905607933,0.055048401421791376,0.12187976082901579
50.0,2.0,0.911036743814138,0.10751343434485462,0.10453212622987755,16.025197600424942,0.10637903625610397,2.2721956192243944,-9.812183687913942,178.5930812579877,381.9690823776128,223.96802985543317,0.1473677831782653,0.1473677831782653,0.04383861186171138,0.11040038682815295,0.143143510152556,0.143143510152556,0.04345711109695795,0.10801245352154966
50.0,2.0,0.913604476360966,0.11300040272777584,0.11013524472268783,17.8561490007779,0.11186272525461256,2.5731747991223655,-9.269232857033598,195.44191919011746,444.15789448594717,251.32371402303195,0.14583370446385138,0.14583370446385138,0.04046408353343753,0.10604116286839342,0.14208130565154284,0.14208130565154284,0.0401697209095504,0.10404313268645035
50.0,2.0,0.916661970213761,0.11368839403969566,0.11103828103666734,18.72591883901189,0.11260439907873396,2.7636708255182816,-9.165174673765556,218.35366920196486,518.2386026120727,286.06318891308405,0.14397889228588548,0.14397889228588548,0.038953883549414606,0.10299580451144681,0.1405897465299735,0.1405897465299735,0.0387014680772324,0.10124977582177426
50.0,2.0,0.922130593754053,0.12078634535744463,0.1184695929090279,22.427036255370847,0.11976272948117259,3.315327582628994,-8.541240702530075,269.7354638787439,719.1225492605745,372.61709417398384,0.14072693993466132,0.14072693993466132,0.03386043166159991,0.0959574329207641,0.13806939909247745,0.13806939909247745,0.0337043386109794,0.09471435120498214
50.0,2.0,0.92466292038639,0.12482124995279018,0.12268204738488346,24.584996247125222,0.123841251571135,3.5586116783958675,-8.229532807786402,302.3277001714044,855.8225243876069,429.6140260100427,0.1393387382926274,0.1393387382926274,0.03148440995026289,0.09315005449648747,0.13713691532090422,0.13713691532090422,0.03137060148871151,0.09216085078565754
50.0,2.0,0.952869238052889,0.13339783283137333,0.13269599948117564,60.91737338944386,0.1329420434523752,8.415907651348192,-7.553477954188851,991.5837582528799,3261.0007933848246,1809.305375605766,0.11855425673146139,0.11855425673146139,0.014419126241352245,0.0593441375010405,0.11978988175272369,0.11978988175272368,0.014437238494553818,0.05965213929880691
50.0,2.0,0.97656837432257,0.14288468781980176,0.1425315555615928,77.96586905407223,0.14264204575201114,11.390375913386825,-7.025846358999019,1808.0527125432536,5001.276281994818,3221.2431744563883,0.11449695047296032,0.11449695047296034,0.01153406181015376,0.04969133486931847,0.11686179349377158,0.1168617934937716,0.011557622425408703,0.050131614102919476
50.0,2.0,1.00374427625935,0.14533661919648258,0.1448725837364652,72.01919838923727,0.14500996546666003,9.60450013442621,-6.912539355689728,1488.1357404672651,4808.934995283255,2895.7977824178843,0.1283775797626755,0.1283775797626755,0.01252995904900063,0.057491015255226395,0.12579796104262678,0.12579796104262678,0.012504931190444138,0.05696786951894529
